,member,name
0,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1
1,IFI44,Interferon-induced protein 44
2,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3
3,MX2,Interferon-induced GTP-binding protein Mx2
4,OAS1,2'-5'-oligoadenylate synthase 1
5,OAS3,2'-5'-oligoadenylate synthase 3 
6,BST2,"Bone marrow stromal antigen 2
"
7,IFITM1,Interferon-induced transmembrane protein 1
8,MX1,Myxovirus resistance protein
9,STAT1,Signal transducer and activator of transcription 1-alpha/beta
10,IFI27,"Interferon alpha-inducible protein 27, mitochondrial"
11,CXCL10,C-X-C motif chemokine 10
12,IFI16,Interferon-gamma-inducible protein 16
13,IFI30,Gamma-interferon-inducible lysosomal thiol reductase
14,IFIH1,Interferon-induced helicase C domain-containing protein 1
15,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2
16,IFITM2,Interferon-induced transmembrane protein 2
17,IRF1,Interferon regulatory factor 1
18,IRF9,Interferon regulatory factor 9
19,IRGM,Immunity-related GTPase family M protein 
20,ISG15,Ubiquitin-like protein ISG15
21,OAS2,2'-5'-oligoadenylate synthase 2
22,PSME1,Proteasome
23,SOCS1,Suppressor of cytokine signaling 1
24,STAT2,Signal transducer and activator of transcription 2
